BRAND,TOTAL_SALES,TOTAL_UNITS,N_TRANSACTIONS,AVG_PRICE_PER_UNIT
KETTLE,390239.8,79051,41288,4.93655741230345
SMITHS,224654.2,60337,31822,3.7233239968841674
DORITOS,226329.90000000002,48331,25224,4.682913657900727
PRINGLES,177655.5,48019,25102,3.699691788666986
RED ROCK DELI,95046.0,33646,17779,2.824882601200737
THINS,88852.5,26929,14075,3.299509822124847
WOOLWORTHS,41059.1,22333,11836,1.8384946043970805
COBS,70569.8,18571,9693,3.8000000000000003
TOSTITOS,79789.6,18134,9471,4.4
TWISTIES,81522.09999999999,18118,9454,4.4995087758030685
GRAIN WAVES,51617.200000000004,14726,7740,3.5051745212549235
NATURAL CHIP CO,42318.0,14106,7469,3.0
TYRRELLS,51647.4,12298,6442,4.19965848105383
INFUZIONS,46382.799999999996,12206,6386,3.8
CHEEZELS,40029.9,8747,4603,4.576414770778553
CCS,18078.9,8609,4551,2.1
SUNBITES,9676.4,5692,3008,1.7
CHEETOS,16884.5,5530,2927,3.053254972875226
BURGER,6830.999999999999,2970,1564,2.3
FRENCH,7929.0,2643,1418,3.0
